id,status,chars,lines,attempts,last_attempt,note
f4bff374-c560-4627-b60d-dce64838eea8,failed,0,3,1,2026-08-31T19:33:25Z,only_3_lines
f82f4313-ed51-49e1-8692-428585ee2875,failed,0,5,1,2026-08-31T20:02:25Z,only_5_lines
f888ed06-3182-4e4f-94b4-7763ee515470,failed,0,4,1,2026-08-31T21:57:50Z,only_4_lines
faaf208d-f3fb-4acf-90e1-a4498d1cebb6,failed,0,5,1,2026-08-31T16:01:07Z,only_5_lines
fc244a70-fbd2-4a62-a5e8-7caad750e8d9,failed,0,8,1,2026-08-31T14:31:04Z,only_8_lines
fc88d475-f678-4ae3-bc2c-5ef19e50476f,failed,0,8,1,2026-08-31T19:33:25Z,only_8_lines
fcd24d2e-1552-4b2e-a939-87596e9177ce,failed,0,3,1,2026-08-31T17:09:24Z,only_3_lines
fd11d261-e3de-44d6-b3fa-d08465e79bbd,ok,5274,78,1,2026-08-31T17:30:48Z,
fd4b2ae3-7ff3-4faf-9469-b64c12be8275,failed,0,4,1,2026-08-31T19:01:00Z,only_4_lines
fdcce4dd-7800-4e80-bc0f-fa79d580e58c,failed,0,4,1,2026-08-31T17:09:24Z,only_4_lines
fe4a0f8c-3de2-411c-8959-9b9893900a52,ok,9104,142,1,2026-08-31T17:00:55Z,
